pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta
¿Cuál es el videojuego más vendido de todos los tiempos?,Minecraft,Tetris,Grand Theft Auto V,Super Mario Bros.,1
¿Cuál fue la primera consola de videojuegos doméstica?,Atari 2600,Magnavox Odyssey,NES,Sega Genesis,2
¿En qué juego se originó el personaje 'Kirby'?,Super Smash Bros.,Kirby's Adventure,Kirby's Dream Land,Yoshi's Island,3
¿Cuál es el verdadero nombre del personaje 'Master Chief'?,Marcus Fenix,John-117,Alex Mason,Sam Fisher,2
¿Qué compañía desarrolló el juego 'The Witcher 3'?,Bethesda,Ubisoft,CD Projekt Red,Bioware,3
¿Qué videojuego es conocido por su frase “Do a barrel roll”?,F-Zero,Star Fox 64,Metroid,Donkey Kong 64,2
¿En qué año se lanzó el primer juego de 'Minecraft'?,2011,2010,2009,2012,3
¿Cuál es el nombre del planeta donde ocurre 'Halo: Reach'?,Earth,Reach,Noble Six,Harvest,2
¿Qué juego popularizó el género Battle Royale?,Call of Duty: Warzone,H1Z1,PUBG,Fortnite,3
¿Cuál es el jefe final en 'The Legend of Zelda: Ocarina of Time'?,Dark Link,Ganondorf,Ganon,Vaati,2
¿Qué personaje es conocido como el rival principal de Mario?,Luigi,Bowser,Donkey Kong,Wario,2
¿Cuál es el objetivo principal en 'Shadow of the Colossus'?,Vengar a su pueblo,Recolectar fragmentos,Derrotar colosos,Salvar a la princesa,3
¿Qué juego fue desarrollado por Hideo Kojima antes de 'Death Stranding'?,Silent Hill,Metal Gear Solid V,Bioshock,The Last of Us,2
¿Cuál de estos juegos no es parte del universo de 'Final Fantasy'?,Chrono Trigger,Kingdom Hearts,Bravely Default,Tactics Ogre,1
¿En qué ciudad ficticia transcurre 'GTA: Vice City'?,Los Santos,Vice City,San Andreas,Liberty City,2
¿Qué arma es emblemática en la saga 'DOOM'?,Railgun,Super Shotgun,Plasma Rifle,BFG 9000,4
¿En qué juego aparece el personaje Geralt de Rivia?,Skyrim,Elden Ring,The Witcher,Dark Souls,3
¿Cuál es la empresa desarrolladora de League of Legends?,Valve,Epic Games,Riot Games,Tencent,3
¿Qué ítem te permite revivir automáticamente en League of Legends?,Fajín de vida,Ángel guardián,Reloj de arena,Báculo solar,2
¿Cuál es el título más vendido de la historia (hasta 2024)?,GTA V,Minecraft,Tetris,Wii Sports,2
¿Qué juego popular incluye el modo 'Impostor'?,Roblox,Among Us,Fortnite,Fall Guys,2
¿Qué criatura legendaria aparece en Skyrim?,Minotauro,Dragón,Demonio,Gigante,2
¿Cuál fue la consola que acompañó el lanzamiento de Halo: Combat Evolved?,Xbox 360,Xbox,GameCube,PlayStation 2,2
¿Cuál es el nombre del enemigo principal en Half-Life?,Dr. Breen,G-Man,Barney Calhoun,Alyx Vance,2
¿Qué personaje es el protagonista de la saga Uncharted?,Lara Croft,Nathan Drake,Ezio Auditore,John Marston,2
¿En qué saga se usan pokébolas?,Digimon,Yo-kai Watch,Pokémon,Yo-kai,3
¿Qué personaje de videojuegos es conocido por recolectar anillos?,Crash Bandicoot,Sonic,Mario,Ratchet,2
¿Qué saga pertenece a la empresa FromSoftware?,Final Fantasy,Dark Souls,Bloodborne,Sekiro,2
¿Qué juego fue revolucionario por su uso de portales de teletransporte?,Half-Life,Portal,BioShock,Doom,2
¿Qué color es el casco de Samus Aran en la mayoría de sus juegos?,Rojo,Naranja,Verde,Azul,2
¿Cuál de estos no es un personaje de Street Fighter?,Jin,Ryu,Akuma,Ken,2
¿En qué juego encontramos a la organización Umbrella Corporation?,Silent Hill,Resident Evil,Fatal Frame,Dead Space,2
¿Cuál fue el primer juego en tener un 'easter egg' oculto?,Pac-Man,Adventure,Adventureland,Zork,4
¿Qué juego popular fue creado por Mojang?,Terraria,Minecraft,Roblox,Lego Worlds,2
¿Qué arma es típica de 'Counter-Strike'?,AWP,Desert Eagle,AK-47,UMP45,3
¿Cuál es el nombre del enemigo en 'The Legend of Zelda: Breath of the Wild'?,Dark Link,Ganon,Calamity Ganon,Zant,2
¿Qué criatura inicial de fuego es de la región de Kanto?,Cyndaquil,Torchic,Fennekin,Scorbunny,2
¿Qué consola introdujo los cartuchos con memoria de guardado?,PS1,Nintendo 64,NES,Dreamcast,2
¿Qué juego es famoso por su frase 'The cake is a lie'?,Bioshock,Portal,The Stanley Parable,System Shock,2
¿Qué juego fue desarrollado por Rockstar Games y se sitúa en el Viejo Oeste?,L.A. Noire,Red Dead Redemption,Max Payne,GTA: San Andreas,2
¿En qué juego aparece el personaje Kratos?,The Elder Scrolls,God of War,Darksiders,Castlevania,2
¿Qué juego de terror involucra una pizzería y animatrónicos?,Bendy and the Ink Machine,Five Nights at Freddy's,Outlast,Slender,2
¿Cuál es el principal objetivo en 'The Sims'?,Cocinar recetas,Controlar una ciudad,Criar mascotas,Vivir eternamente,2
¿Qué es 'Dust II'?,Un mapa de LoL,Un arma de DOOM,Un personaje de Metal Gear,Una zona de Monster Hunter,3
¿Qué clase de juego es 'Overwatch'?,MOBA,FPS por equipos,Battle Royale,RPG de acción,2
¿Qué personaje tiene como rival a Ridley?,Mega Man,Samus Aran,Ridley,Fox McCloud,2
